"name";"var_id";"name";"units";"friendly_name";"value";"ts";"name";"lat";"lng";"elev"
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 01:05:28.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 01:15:27.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 01:24:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 01:44:54.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 01:54:31.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;100.0;2023-03-02 02:04:56.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;85.5;2023-03-02 02:34:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;85.6;2023-03-02 02:44:44.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;88.3;2023-03-02 02:54:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;90.5;2023-03-02 03:14:54.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;88.4;2023-03-02 03:26:15.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;73.1;2023-03-02 03:44:31.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;70.2;2023-03-02 04:04:54.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;69.2;2023-03-02 04:14:54.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;79.4;2023-03-02 04:34:41.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;-1000.0;2023-03-02 04:44:55.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;79.0;2023-03-02 04:54:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
