"name";"var_id";"name";"units";"friendly_name";"value";"ts";"name";"lat";"lng";"elev"
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 12:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 13:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 14:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 15:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 16:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 17:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 18:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 19:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 20:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 21:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 22:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-02 23:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 00:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 01:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 02:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 03:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 04:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 05:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 06:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 07:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 08:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 09:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 10:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 11:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 12:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 13:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 14:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 15:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 16:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 17:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 18:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 19:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 20:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 21:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 22:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;3;PLV1;mm;Precipitación;0.0;2020-08-03 23:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;4;ANE;m/s;Velocidad del viento;1.1;2020-07-29 01:00:00.000;ESTEPONA;36.417;-5.1549;7
ESTEPONA;4;ANE;m/s;Velocidad del viento;0.6;2020-07-29 02:00:00.000;ESTEPONA;36.417;-5.1549;7
